ID,NR,TraceSampleCode,Region,RegionNo,d34S,LabNo
1.0000000000000000e+00,1.0000000000000000e+00,"BBar 001","BAR",2.0000000000000000e+00,7.4800000000000004e+00,
2.0000000000000000e+00,2.0000000000000000e+00,"BBar 002","BAR",2.0000000000000000e+00,7.1699999999999999e+00,
3.0000000000000000e+00,3.0000000000000000e+00,"BBar 003","BAR",2.0000000000000000e+00,7.5200000000000005e+00,
4.0000000000000000e+00,4.0000000000000000e+00,"BBar 004","BAR",2.0000000000000000e+00,6.9800000000000004e+00,
5.0000000000000000e+00,5.0000000000000000e+00,"BBar 005","BAR",2.0000000000000000e+00,7.7400000000000002e+00,
6.0000000000000000e+00,6.0000000000000000e+00,"BBar 006","BAR",2.0000000000000000e+00,6.1400000000000006e+00,
7.0000000000000000e+00,7.0000000000000000e+00,"BBar 007","BAR",2.0000000000000000e+00,6.3600000000000003e+00,
8.0000000000000000e+00,8.0000000000000000e+00,"BBar 008","BAR",2.0000000000000000e+00,7.3700000000000001e+00,
9.0000000000000000e+00,9.0000000000000000e+00,"BBar 009","BAR",2.0000000000000000e+00,7.1000000000000005e+00,
1.0000000000000000e+01,1.0000000000000000e+01,"BBar 010","BAR",2.0000000000000000e+00,7.4600000000000000e+00,
1.1000000000000000e+01,1.1000000000000000e+01,"BBar 011","BAR",2.0000000000000000e+00,7.1699999999999999e+00,
1.2000000000000000e+01,1.2000000000000000e+01,"BBar 011","BAR",2.0000000000000000e+00,7.1000000000000005e+00,
1.3000000000000000e+01,1.3000000000000000e+01,"BBar 012","BAR",2.0000000000000000e+00,7.0000000000000000e+00,
1.4000000000000000e+01,1.4000000000000000e+01,"BBar 013","BAR",2.0000000000000000e+00,7.4199999999999999e+00,
1.5000000000000000e+01,1.5000000000000000e+01,"BBar 014","BAR",2.0000000000000000e+00,7.0000000000000000e+00,
1.6000000000000000e+01,1.0000000000000000e+00,"1BGrCha08060001","CHA",4.0000000000000000e+00,6.7000000000000002e+00,
1.7000000000000000e+01,2.0000000000000000e+00,"1BGrCha08060002","CHA",4.0000000000000000e+00,6.2999999999999998e+00,
1.8000000000000000e+01,3.0000000000000000e+00,"1BGrCha08060003","CHA",4.0000000000000000e+00,5.7000000000000002e+00,
1.9000000000000000e+01,4.0000000000000000e+00,"1BGrCha08060004","CHA",4.0000000000000000e+00,5.5000000000000000e+00,
2.0000000000000000e+01,1.0000000000000000e+00,"1BUKCor0801001","COR",5.0000000000000000e+00,4.7999999999999998e+00,
2.1000000000000000e+01,2.0000000000000000e+00,"1BUKCor0801002","COR",5.0000000000000000e+00,7.4000000000000004e+00,
2.2000000000000000e+01,3.0000000000000000e+00,"1BUKCor0801003","COR",5.0000000000000000e+00,8.0000000000000000e+00,
