Sample type,Harvest year,Lab code,Short code,Origin,Country,18O,13C,15N,34S,Na,Mg,Al,P,S,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd,Cs,Ba,Hg,Pb
Strawberry,2018,JAG-18-21,S-18-21,Authentic SLO,Slovenia,-3.370903965,-26.79344586,4.085871199,4.09765643,10.33225733,1.385440706,49.72225405,1.60206242,0.774035257,15.37485435,1.411493647,13.963485,NaN,12.65872878,13.14960936,61.39379011,216.0835339,1.623412165,5.944378687,13.07058905,8.920472924,0.608854139,5.461399464,598.2151837,1.973629572,1.486490548,2.618460638,0.43,NaN
Strawberry,2018,JAG-18-22,S-18-22,Authentic SLO,Slovenia,-2.198372361,-26.12289717,3.717168919,6.258436175,8.161360197,1.480515428,47.21706445,1.526965571,0.587234219,13.6902709,1.742970874,10.4964785,43.3187587,56.47843823,18.04164162,45.39049694,338.4738127,3.361585842,7.730004491,8.24563699,6.683900554,6.582516778,4.76838362,42.15127266,119.2548016,3.474206843,10.36463854,0.65,NaN
Strawberry,2018,JAG-18-23,S-18-23,Authentic SLO,Slovenia,-1.366122994,-25.61297485,1.309558433,2.100229483,5.78372157,1.326202723,36.45634039,1.846881782,0.754189183,10.99064782,1.69652784,7.863679294,NaN,18.87835702,11.62649736,60.93903616,79.18874,3.847381526,10.53846089,5.140936995,NaN,3.606132116,3.470403587,206.3461488,5.010303762,9.338406542,3.797337822,NaN,NaN
Strawberry,2018,JAG-18-24,S-18-24,Authentic SLO,Slovenia,0.473831971,-26.02123069,6.648037488,3.89392486,4.78751783,1.288518275,38.80793701,1.863277776,0.520889699,14.16531902,1.31400944,8.278437168,NaN,22.68203954,15.49431077,37.02347169,326.9434306,3.276412416,5.787960403,6.43370536,NaN,1.89601376,4.63197145,134.4280566,22.767123,2.777274865,9.050740777,NaN,NaN
Strawberry,2018,JAG-18-25,S-18-25,Authentic SLO,Slovenia,-1.066456211,-26.54671914,1.947148452,4.52030531,15.08883794,1.821632548,48.7030392,2.108265265,0.768310567,18.25809359,2.016784617,11.37957883,NaN,21.63238417,20.91530843,15.16944476,141.6318728,2.910961482,9.7584444,4.473496005,16.05446235,4.762643683,4.516135255,463.727418,7.837076851,2.942436582,22.13754171,NaN,NaN
Strawberry,2018,JAG-18-26,S-18-26,Authentic SLO,Slovenia,-2.981468715,-27.49124632,1.108356377,2.508544087,22.23401871,1.762332172,44.78194142,2.362194429,0.862068718,23.76570431,1.074393945,14.94161327,NaN,15.97575952,20.69308304,78.04858264,64.78694201,3.242369589,6.629358504,39.24517169,18.29586424,2.374234716,3.211046277,551.4036659,7.404698942,2.141370539,6.130801934,0.86,NaN
Strawberry,2018,JAG-18-27,S-18-27,Authentic SLO,Slovenia,0.051694846,-26.06882175,3.571128146,3.341340182,NaN,1.597759197,64.48926244,1.978604536,0.657105559,14.27283245,1.850150587,17.05740675,NaN,27.75138191,17.79683477,58.35197327,61.59854324,3.033507184,7.681086196,12.77225021,8.213614701,10.59974446,4.091973885,158.8052247,17.33221603,7.661082095,5.666467754,NaN,18.5
Strawberry,2018,JAG-18-28,S-18-28,Authentic SLO,Slovenia,0.421749701,-26.26049424,4.837940646,5.381475002,7.693944455,1.600878986,54.65707171,2.015434657,0.799703676,11.03759664,1.369658687,14.78303409,NaN,18.14567647,18.05504052,64.31160675,NaN,2.776442228,6.441654293,14.48290188,19.02325834,2.117811781,3.020605815,352.1236061,NaN,2.063440276,2.395063114,NaN,NaN
Strawberry,2018,JAG-18-29,S-18-29,Authentic SLO,Slovenia,2.089374784,-25.64386732,5.347293687,4.687149402,8.324549416,1.310900924,38.76867904,1.414494674,0.519794853,13.36505477,1.20320945,10.94950106,NaN,19.80228856,18.62416009,28.11523714,154.3314413,2.10778062,5.309105542,7.363503315,NaN,3.570715921,3.104602235,152.871577,12.20950045,5.355130409,5.260208834,NaN,NaN
Strawberry,2018,JAG-18-30,S-18-30,Authentic SLO,Slovenia,0.483797032,-26.43662134,1.559914345,4.786475314,13.35224063,1.449121981,45.78449369,1.793717542,0.711340553,12.48620324,1.208005946,19.91119218,NaN,19.85841382,21.64076453,29.96216093,61.05031021,3.127250052,7.979577329,6.022153331,NaN,7.086722034,2.123372198,376.1099359,12.27645449,4.732557204,3.087082067,NaN,NaN
